,area_type,availability,location,bath,price,bhk,sqft
161,Super built-up  Area,Soon to be Vacated,Hosa Road,2,32.0,2,1063.0
162,Super built-up  Area,Ready To Move,Other,3,150.0,3,1904.0
163,Built-up  Area,Ready To Move,Whitefield,4,420.0,4,4200.0
164,Super built-up  Area,Ready To Move,Other,3,175.0,3,2000.0
165,Super built-up  Area,Soon to be Vacated,Sarjapur,2,43.49,2,1242.5
167,Super built-up  Area,Ready To Move,Electronic City,2,64.5,3,1500.0
168,Built-up  Area,Ready To Move,Electronic City,2,60.0,2,1060.0
171,Super built-up  Area,Ready To Move,Attibele,1,11.0,1,450.0
172,Super built-up  Area,Soon to be Vacated,Electronic City,2,64.5,2,1152.0
175,Plot  Area,Ready To Move,Other,3,100.0,3,1500.0
177,Plot  Area,Ready To Move,Nagavara,1,14.0,1,400.0
178,Super built-up  Area,Ready To Move,Malleshwaram,1,67.0,1,705.0
180,Super built-up  Area,Ready To Move,Hulimavu,2,51.0,2,1242.0
181,Super built-up  Area,Ready To Move,Hebbal Kempapura,3,155.0,3,1700.0
182,Super built-up  Area,Ready To Move,Thanisandra,3,145.0,3,2144.0
185,Plot  Area,Ready To Move,Other,3,300.0,3,1846.0
188,Super built-up  Area,Ready To Move,KR Puram,2,56.8,2,1277.5
189,Super built-up  Area,Ready To Move,Marathahalli,2,52.0,2,1200.0
191,Super built-up  Area,Ready To Move,Pattandur Agrahara,2,80.0,3,1550.0
194,Super built-up  Area,Ready To Move,Marathahalli,2,60.0,2,1200.0
195,Super built-up  Area,Ready To Move,Yelahanka,2,98.0,2,1327.0
196,Super built-up  Area,Ready To Move,Kothanur,2,58.0,2,1186.0
197,Built-up  Area,Ready To Move,Other,3,115.0,3,1783.0
199,Super built-up  Area,Ready To Move,Nagasandra,2,48.0,2,980.0
200,Super built-up  Area,Ready To Move,EPIP Zone,2,82.0,2,1285.0
201,Super built-up  Area,Ready To Move,Other,2,70.0,3,912.0
206,Super built-up  Area,Ready To Move,Kogilu,3,88.0,3,1909.0
207,Super built-up  Area,Ready To Move,Panathur,2,87.0,2,1359.0
210,Super built-up  Area,Soon to be Vacated,1st Block Jayanagar,4,428.0,4,2850.0
211,Super built-up  Area,Ready To Move,Kammasandra,3,65.0,3,1595.0
213,Super built-up  Area,Ready To Move,Electronics City Phase 1,3,78.29,3,1475.0
214,Super built-up  Area,Ready To Move,Other,3,100.0,3,1580.0
215,Super built-up  Area,Ready To Move,Dasarahalli,2,65.0,2,1295.0
216,Built-up  Area,Ready To Move,Magadi Road,6,141.0,6,3600.0
217,Super built-up  Area,Ready To Move,Electronic City,1,27.0,1,589.0
219,Super built-up  Area,Soon to be Vacated,Sarjapur  Road,3,98.29,3,1787.0
220,Super built-up  Area,Ready To Move,Sarjapur  Road,3,125.0,3,1787.0
225,Super built-up  Area,Ready To Move,Other,4,260.0,3,2405.0
226,Built-up  Area,Ready To Move,7th Phase JP Nagar,2,72.0,2,1080.0
227,Plot  Area,Ready To Move,Other,2,115.0,2,1500.0
228,Super built-up  Area,Ready To Move,Hebbal,3,119.0,3,1900.0
229,Super built-up  Area,Soon to be Vacated,Dommasandra,2,22.14,2,805.0
234,Super built-up  Area,Ready To Move,Kalyan nagar,2,110.0,2,1290.0
240,Super built-up  Area,Soon to be Vacated,Chandapura,1,16.45,1,645.0
242,Super built-up  Area,Soon to be Vacated,Chandapura,1,16.45,1,645.0
245,Plot  Area,Ready To Move,Electronic City,3,90.0,3,1200.0
249,Super built-up  Area,Ready To Move,OMBR Layout,3,185.0,3,2420.0
252,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,93.0,2,1270.0
255,Plot  Area,Ready To Move,Horamavu Agara,2,95.0,4,1200.0
257,Super built-up  Area,Soon to be Vacated,Electronic City,2,63.0,2,1108.0
259,Super built-up  Area,Ready To Move,Other,3,170.0,3,3045.0
260,Plot  Area,Ready To Move,Ambedkar Nagar,3,300.0,4,2900.0
262,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,43.9,2,1295.0
263,Super built-up  Area,Ready To Move,Budigere,2,59.9,2,1162.0
269,Super built-up  Area,Ready To Move,Kalena Agrahara,3,120.0,3,1804.0
270,Super built-up  Area,Ready To Move,Sarjapur,2,32.0,2,913.0
271,Super built-up  Area,Soon to be Vacated,Talaghattapura,3,131.0,3,1868.0
272,Built-up  Area,Ready To Move,Kengeri Satellite Town,2,45.0,2,883.0
273,Plot  Area,Ready To Move,Other,2,110.0,2,900.0
275,Super built-up  Area,Ready To Move,Hegde Nagar,3,132.0,3,2026.0
276,Super built-up  Area,Ready To Move,Balagere,2,80.9,2,1210.0
278,Super built-up  Area,Ready To Move,Kadugodi,3,91.45,3,1762.0
280,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,34.5,2,861.0
281,Built-up  Area,Ready To Move,7th Phase JP Nagar,2,100.0,3,1420.0
283,Built-up  Area,Ready To Move,Electronics City Phase 1,3,78.8,3,1490.0
284,Super built-up  Area,Ready To Move,Bisuvanahalli,2,46.0,3,1075.0
285,Super built-up  Area,Soon to be Vacated,Old Madras Road,2,94.0,3,1425.0
286,Built-up  Area,Ready To Move,Kalena Agrahara,2,40.0,2,1200.0
287,Super built-up  Area,Ready To Move,Kaggadasapura,2,56.0,3,1280.0
291,Super built-up  Area,Ready To Move,Haralur Road,2,44.0,2,1027.0
292,Super built-up  Area,Ready To Move,Electronic City Phase II,2,45.0,2,1069.0
293,Super built-up  Area,Ready To Move,Hebbal,2,98.2,2,1349.0
294,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,50.0,2,1005.0
295,Super built-up  Area,Ready To Move,Jakkur,2,75.0,2,1417.0
296,Plot  Area,Soon to be Vacated,TC Palaya,3,98.0,3,1475.0
301,Super built-up  Area,Ready To Move,Singasandra,2,29.5,2,1010.0
302,Super built-up  Area,Ready To Move,Kalena Agrahara,2,70.0,3,1425.0
303,Super built-up  Area,Ready To Move,Vijayanagar,3,100.0,3,1450.0
304,Super built-up  Area,Ready To Move,Kothanur,3,105.0,3,1847.0
305,Super built-up  Area,Ready To Move,AECS Layout,2,45.0,2,1100.0
306,Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,26.0,1,525.0
307,Super built-up  Area,Ready To Move,Mallasandra,3,95.0,3,1665.0
309,Super built-up  Area,Ready To Move,JP Nagar,3,150.0,3,1850.0
310,Super built-up  Area,Ready To Move,Panathur,2,100.0,2,1438.0
311,Super built-up  Area,Ready To Move,Other,3,115.0,3,1560.0
314,Super built-up  Area,Soon to be Vacated,Malleshpalya,2,46.5,2,1140.0
317,Super built-up  Area,Ready To Move,Whitefield,2,75.0,2,1280.0
318,Built-up  Area,Ready To Move,Munnekollal,2,52.0,2,1170.0
320,Super built-up  Area,Ready To Move,Hennur Road,2,83.09,2,1385.0
321,Super built-up  Area,Soon to be Vacated,Electronic City,2,65.0,2,1128.0
322,Plot  Area,Ready To Move,Marathahalli,2,128.0,2,1200.0
323,Plot  Area,Ready To Move,Other,4,165.0,4,1200.0
324,Super built-up  Area,Ready To Move,Rajaji Nagar,3,415.0,3,2390.0
325,Plot  Area,Ready To Move,Giri Nagar,4,400.0,4,2400.0
328,Super built-up  Area,Ready To Move,Kaval Byrasandra,2,52.0,2,1200.0
330,Built-up  Area,Ready To Move,Other,3,95.0,3,1645.0
331,Super built-up  Area,Soon to be Vacated,Sarjapur  Road,2,67.0,2,1000.0
332,Plot  Area,Ready To Move,Haralur Road,4,198.0,4,2650.0
333,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,74.0,2,1192.0
334,Super built-up  Area,Ready To Move,Ulsoor,3,215.0,3,2135.0
336,Built-up  Area,Ready To Move,Uttarahalli,2,45.0,2,1020.0
339,Plot  Area,Soon to be Vacated,Other,2,79.0,2,1200.0
341,Super built-up  Area,Ready To Move,Devarachikkanahalli,2,40.0,2,1250.0
342,Super built-up  Area,Ready To Move,Kalena Agrahara,2,76.0,2,1325.0
343,Built-up  Area,Ready To Move,7th Phase JP Nagar,3,150.0,3,1850.0
344,Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,21.53,1,525.0
345,Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,65.0,2,1200.0
346,Plot  Area,Ready To Move,Other,2,140.0,3,1350.0
347,Super built-up  Area,Soon to be Vacated,Bommasandra,3,49.36,3,1260.0
348,Super built-up  Area,Ready To Move,Other,3,150.0,3,1800.0
350,Built-up  Area,Ready To Move,Ardendale,2,43.25,2,1100.0
351,Super built-up  Area,Ready To Move,Harlur,2,77.0,2,1508.0
353,Super built-up  Area,Ready To Move,Akshaya Nagar,2,57.0,2,1388.0
354,Super built-up  Area,Soon to be Vacated,Electronic City Phase II,1,28.35,1,630.0
355,Plot  Area,Ready To Move,Other,3,365.0,3,2000.0
356,Super built-up  Area,Ready To Move,Other,3,125.0,3,1762.0
358,Super built-up  Area,Ready To Move,Kodihalli,5,335.0,4,3252.0
359,Super built-up  Area,Soon to be Vacated,Magadi Road,2,50.0,2,1116.0
360,Super built-up  Area,Ready To Move,Narayanapura,2,89.04,2,1308.0
361,Super built-up  Area,Ready To Move,Other,3,90.0,3,1200.0
362,Plot  Area,Ready To Move,Other,4,230.0,4,1500.0
363,Built-up  Area,Ready To Move,Bannerghatta Road,1,18.5,1,500.0
364,Super built-up  Area,Ready To Move,Hennur,2,52.0,2,1075.0
365,Super built-up  Area,Soon to be Vacated,Chandapura,1,11.66,1,530.0
366,Built-up  Area,Ready To Move,Bellandur,2,66.0,2,1205.0
367,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,60.0,2,1075.0
368,Built-up  Area,Ready To Move,KR Puram,2,39.0,2,930.0
370,Super built-up  Area,Ready To Move,Hebbal,5,212.0,4,2483.0
371,Built-up  Area,Ready To Move,Kodigehaali,2,55.0,2,1166.0
372,Super built-up  Area,Ready To Move,Bannerghatta Road,2,65.0,2,1050.0
373,Super built-up  Area,Soon to be Vacated,Other,3,275.0,3,2023.71
374,Super built-up  Area,Ready To Move,Begur Road,2,46.8,2,1200.0
375,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,108.0,3,1600.0
377,Super built-up  Area,Soon to be Vacated,8th Phase JP Nagar,1,29.9,1,451.0
378,Super built-up  Area,Ready To Move,Electronic City,3,95.0,3,1800.0
380,Super built-up  Area,Ready To Move,Hegde Nagar,3,115.0,3,1801.0
381,Built-up  Area,Ready To Move,Mahadevpura,2,90.0,2,1451.0
383,Super built-up  Area,Ready To Move,Begur Road,2,44.0,2,1160.0
387,Built-up  Area,Ready To Move,Vijayanagar,2,134.0,3,1580.0
389,Built-up  Area,Ready To Move,7th Phase JP Nagar,2,94.0,2,1245.0
390,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,45.79,2,1145.0
391,Super built-up  Area,Ready To Move,Sompura,2,33.0,2,825.0
392,Super built-up  Area,Soon to be Vacated,Yeshwanthpur,3,108.0,3,1693.0
395,Built-up  Area,Ready To Move,Doddathoguru,2,32.0,2,1050.0
396,Built-up  Area,Ready To Move,Dodda Nekkundi,2,55.0,2,1260.0
398,Built-up  Area,Ready To Move,Hosur Road,2,120.0,2,1656.0
399,Super built-up  Area,Ready To Move,Chandapura,3,45.0,3,1208.0
400,Super built-up  Area,Ready To Move,Whitefield,3,161.0,3,1910.0
401,Super built-up  Area,Ready To Move,Whitefield,4,230.0,4,3252.0
402,Plot  Area,Ready To Move,Battarahalli,2,65.0,2,1200.0
403,Super built-up  Area,Ready To Move,Other,4,175.0,4,1200.0
404,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,82.0,2,1175.0
405,Plot  Area,Ready To Move,Other,2,165.0,2,1000.0
406,Plot  Area,Ready To Move,Bannerghatta Road,2,125.0,4,1200.0
407,Super built-up  Area,Ready To Move,Rajaji Nagar,3,410.0,3,2390.0
410,Super built-up  Area,Ready To Move,Kengeri,1,18.5,1,370.923994
412,Super built-up  Area,Ready To Move,Kengeri,2,38.0,2,750.0
416,Super built-up  Area,Ready To Move,Billekahalli,2,62.0,2,1125.0
417,Plot  Area,Ready To Move,Nagarbhavi,3,150.0,3,1350.0
418,Plot  Area,Soon to be Vacated,Anandapura,2,55.0,2,1000.0
419,Built-up  Area,Soon to be Vacated,Bommasandra Industrial Area,2,31.48,2,1090.0
420,Plot  Area,Ready To Move,TC Palaya,2,60.0,2,1200.0
421,Super built-up  Area,Ready To Move,Budigere,4,103.0,3,1991.0
422,Super built-up  Area,Soon to be Vacated,Bommasandra,2,26.5,2,1060.0
423,Super built-up  Area,Ready To Move,Ambalipura,2,75.0,2,1105.0
424,Built-up  Area,Ready To Move,Hoodi,2,67.0,2,985.0
427,Super built-up  Area,Ready To Move,CV Raman Nagar,2,55.0,2,1120.0
429,Super built-up  Area,Ready To Move,Marathahalli,3,140.0,3,1933.0
430,Built-up  Area,Soon to be Vacated,Hosur Road,2,69.0,2,1194.0
431,Super built-up  Area,Ready To Move,Brookefield,2,69.0,2,1150.0
432,Super built-up  Area,Ready To Move,Yelenahalli,2,47.12,2,1240.0
433,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,48.1,2,1419.0
435,Super built-up  Area,Ready To Move,Other,4,240.0,3,2150.0
438,Super built-up  Area,Ready To Move,Dasanapura,1,40.0,2,708.0
439,Plot  Area,Ready To Move,Kasavanhalli,4,110.0,3,1000.0
441,Super built-up  Area,Ready To Move,Bellandur,2,76.0,2,1250.0
442,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,95.0,3,1400.0
444,Super built-up  Area,Ready To Move,Ardendale,3,100.0,3,1750.0
445,Super built-up  Area,Ready To Move,Vittasandra,2,71.0,2,1404.0
447,Built-up  Area,Soon to be Vacated,Electronic City,1,34.65,1,630.0
448,Super built-up  Area,Ready To Move,Harlur,3,135.0,3,1752.12
450,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,55.47,2,1295.0
451,Plot  Area,Ready To Move,Giri Nagar,3,252.0,3,1800.0
452,Super built-up  Area,Soon to be Vacated,Sarjapur  Road,2,74.03,2,1346.0
453,Plot  Area,Ready To Move,Other,4,200.0,4,1200.0
454,Super built-up  Area,Ready To Move,Hormavu,2,55.0,2,1150.0
455,Built-up  Area,Ready To Move,Other,4,325.0,4,3309.0
457,Super built-up  Area,Ready To Move,AECS Layout,3,98.0,3,1620.0
458,Super built-up  Area,Soon to be Vacated,Marathahalli,2,46.96,2,950.0
459,Super built-up  Area,Ready To Move,Other,9,360.0,11,5000.0
463,Built-up  Area,Ready To Move,Padmanabhanagar,2,63.0,2,1020.0
464,Built-up  Area,Ready To Move,Chikkalasandra,2,50.0,2,1100.0
465,Super built-up  Area,Ready To Move,Other,2,126.0,2,1150.0
466,Super built-up  Area,Soon to be Vacated,Hebbal,2,130.0,3,1760.0
467,Super built-up  Area,Ready To Move,Ambalipura,3,110.0,3,1800.0
468,Super built-up  Area,Ready To Move,Akshaya Nagar,2,54.0,2,1070.0
469,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,220.0,4,1500.0
470,Plot  Area,Ready To Move,Vidyaranyapura,2,95.0,2,1440.0
471,Super built-up  Area,Ready To Move,Amruthahalli,2,40.0,2,900.0
472,Built-up  Area,Ready To Move,Other,4,230.0,4,1200.0
474,Super built-up  Area,Ready To Move,Koramangala,2,165.0,2,1320.0
475,Super built-up  Area,Soon to be Vacated,Kodigehalli,2,98.0,2,1270.0
478,Super built-up  Area,Ready To Move,Other,2,74.0,2,1200.0
479,Super built-up  Area,Ready To Move,Subramanyapura,2,50.17,2,929.0
485,Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,400.0,4,3600.0
487,Super built-up  Area,Ready To Move,Chikkalasandra,2,49.0,2,1208.0
488,Super built-up  Area,Ready To Move,Hebbal Kempapura,2,60.0,2,1130.0
489,Super built-up  Area,Ready To Move,Other,3,120.0,3,1753.0
492,Super built-up  Area,Soon to be Vacated,Hoodi,2,94.42,2,1196.0
493,Built-up  Area,Ready To Move,5th Phase JP Nagar,3,52.5,2,1150.0
494,Super built-up  Area,Soon to be Vacated,Electronic City,2,63.0,2,1128.0
497,Built-up  Area,Ready To Move,Kereguddadahalli,2,32.0,2,950.0
500,Plot  Area,Soon to be Vacated,Other,2,45.0,2,720.0
501,Super built-up  Area,Ready To Move,Lingadheeranahalli,3,95.0,3,1511.0
504,Built-up  Area,Ready To Move,Shampura,2,26.0,1,375.0
505,Super built-up  Area,Ready To Move,Vidyaranyapura,2,38.0,2,1062.0
507,Super built-up  Area,Ready To Move,JP Nagar,2,35.0,2,1000.0
508,Super built-up  Area,Soon to be Vacated,Kambipura,2,45.0,2,883.0
509,Super built-up  Area,Soon to be Vacated,Sarjapur  Road,2,70.0,2,1195.0
510,Plot  Area,Ready To Move,Other,3,165.0,4,1200.0
511,Built-up  Area,Ready To Move,Other,1,41.0,1,700.0
512,Super built-up  Area,Ready To Move,Vittasandra,2,67.0,2,1246.0
517,Super built-up  Area,Ready To Move,Begur Road,3,65.0,3,1584.0
518,Plot  Area,Ready To Move,Sector 7 HSR Layout,5,275.0,4,3000.0
520,Built-up  Area,Soon to be Vacated,Other,3,115.0,3,1595.0
521,Super built-up  Area,Ready To Move,Other,2,110.0,2,1353.0
522,Super built-up  Area,Soon to be Vacated,Electronic City,3,125.0,3,1599.0
523,Super built-up  Area,Ready To Move,Whitefield,2,70.0,2,1150.0
525,Super built-up  Area,Ready To Move,KR Puram,2,42.74,2,1155.0
526,Built-up  Area,Ready To Move,Other,2,85.0,1,1200.0
527,Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,25.0,2,1000.0
529,Built-up  Area,Ready To Move,Rajiv Nagar,3,160.0,3,1867.0
530,Super built-up  Area,Soon to be Vacated,Ramagondanahalli,2,47.0,2,1251.0
532,Super built-up  Area,Ready To Move,Arekere,2,45.0,2,1222.0
533,Super built-up  Area,Ready To Move,Bannerghatta Road,2,66.0,3,1170.0
534,Super built-up  Area,Ready To Move,Hebbal,4,245.0,3,2400.0
536,Super built-up  Area,Ready To Move,HSR Layout,2,68.0,2,1372.0
538,Super built-up  Area,Ready To Move,Mico Layout,9,210.0,9,5000.0
539,Built-up  Area,Ready To Move,Other,3,528.0,5,3000.0
541,Built-up  Area,Soon to be Vacated,Whitefield,3,101.0,3,1768.0
542,Built-up  Area,Ready To Move,Other,2,90.0,3,1325.0
543,Super built-up  Area,Soon to be Vacated,Electronic City,3,99.0,3,1599.0
545,Plot  Area,Ready To Move,Other,3,499.0,3,2610.0
546,Super built-up  Area,Ready To Move,Uttarahalli,2,63.0,2,1286.0
547,Built-up  Area,Ready To Move,Kammanahalli,5,140.0,5,2845.0
549,Super built-up  Area,Soon to be Vacated,Hennur Road,2,63.77,2,1317.5
551,Super built-up  Area,Soon to be Vacated,Munnekollal,2,53.67,2,1102.0
556,Built-up  Area,Ready To Move,Chikkabanavar,2,40.0,2,950.0
557,Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,27.25,1,525.0
558,Built-up  Area,Ready To Move,Attibele,2,25.0,2,656.0
559,Plot  Area,Ready To Move,Marathahalli,4,175.0,4,1780.0
560,Super built-up  Area,Ready To Move,Other,2,80.0,2,1056.0
561,Super built-up  Area,Soon to be Vacated,Bannerghatta Road,1,33.32,1,595.0
563,Super built-up  Area,Soon to be Vacated,7th Phase JP Nagar,3,160.0,3,2225.0
564,Super built-up  Area,Soon to be Vacated,Bommasandra,2,28.15,2,1126.0
565,Super built-up  Area,Ready To Move,Electronics City Phase 1,3,84.0,3,1490.0
566,Plot  Area,Ready To Move,HRBR Layout,4,300.0,4,2000.0
567,Super built-up  Area,Ready To Move,Sarjapur  Road,3,100.0,3,1550.0
570,Built-up  Area,Ready To Move,Whitefield,4,315.0,4,4144.0
571,Super built-up  Area,Ready To Move,Sarjapur  Road,3,125.0,3,2100.0
